strain,reference_strain,isotype,previous_names,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country
MY795,1,MY795,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/26/11,NA,NA,Schleswig-Holstein,Germany
JU2151,0,JU2600,S173.17.1,20170531,JU,,,,49.121,1.951,Forest,Rotting stem,rotting Heracleum stem S173,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,10/31/11,NA,NA,Île-de-France,France
MY819,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/2/11,NA,NA,North Rhine-Westphalia,Germany
MY803,0,MY2713,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/3/11,NA,NA,Schleswig-Holstein,Germany
JU3138,0,JU2600,S175.1,20170531,JU,,,,49.1269,1.9595,Forest,Rotting stem,rotting stems,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,11/7/11,,NA,Île-de-France,France
JU3133,0,JU1440,O748.1,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,11/8/11,,NA,Île-de-France,France
JU3134,1,JU3134,O949.1,20170531,JU,,,,48.7015,2.1725,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,11/11/11,,NA,Île-de-France,France
MY864,0,MY2453,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/14/11,NA,NA,North Rhine-Westphalia,Germany
NIC232,0,NIC231,NA,20160408,NIC,,,,43.720505,7.24045,Rural garden,Rotting fruit,rotting oranges,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,11/14/11,NA,NA,Provence-Alpes-Côte d'Azur,France
NIC231,1,NIC231,NA,20160408,NIC,,,,43.720505,7.24045,Rural garden,Rotting fruit,rotting oranges,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,11/14/11,NA,NA,Provence-Alpes-Côte d'Azur,France
NIC237,0,NIC236,NA,20160408,NIC,,,,39.242006,-9.313417,Rural garden,Rotting fruit,rotting fruit,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,11/26/11,NA,NA,Lisboa,Portugal
NIC236,1,NIC236,NA,20160408,NIC,,,,39.242006,-9.313417,Rural garden,Rotting fruit,rotting fruit,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,11/26/11,NA,NA,Lisboa,Portugal
MY524,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/28/11,NA,NA,North Rhine-Westphalia,Germany
MY881,0,MY2535,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/1/11,NA,NA,North Rhine-Westphalia,Germany
MY882,0,RC301,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/1/11,NA,NA,Schleswig-Holstein,Germany
MY887,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/8/11,NA,NA,Schleswig-Holstein,Germany
BRC20067,1,BRC20067,NA,20160408,BRC,,,,24.072954,121.169736,NA,Fruit,unknown orangish-yellowish colored fruit,NA,NA,NA,NA,NA,C.-Y. Kao,J. Wang,1/13/12,NA,NA,Taiwan,Taiwan
MY920,1,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,1/18/12,NA,NA,Schleswig-Holstein,Germany
MY934,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,1/25/12,NA,NA,North Rhine-Westphalia,Germany
MY965,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,5/9/12,NA,NA,North Rhine-Westphalia,Germany
MY990,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,5/23/12,NA,NA,Schleswig-Holstein,Germany
MY2004,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,6/20/12,NA,NA,North Rhine-Westphalia,Germany
MY991,0,MY679,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,6/20/12,NA,NA,Schleswig-Holstein,Germany
MY2011,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/4/12,NA,NA,North Rhine-Westphalia,Germany
MY2014,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Slug,brown slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/4/12,NA,NA,North Rhine-Westphalia,Germany
MY2022,0,RC301,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/4/12,NA,NA,Schleswig-Holstein,Germany
MY2024,0,RC301,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Slug,brown slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/4/12,NA,NA,Schleswig-Holstein,Germany
MY2050,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/18/12,NA,NA,North Rhine-Westphalia,Germany
MY2051,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/18/12,NA,NA,North Rhine-Westphalia,Germany
MY2054,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/18/12,NA,NA,North Rhine-Westphalia,Germany
MY2042,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,7/18/12,NA,NA,Schleswig-Holstein,Germany
MY2078,0,RC301,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/1/12,NA,NA,Schleswig-Holstein,Germany
NIC251,1,NIC251,NA,20160408,NIC,,,,38.66621,-28.151364,Rural garden,Rotting fruit,Rotting yellow berries from shrub,NA,NA,NA,NA,NA,S. Carvalho,S. Carvalho,8/1/12,Only year and month are known (08-2012),"Isolated in the Azores, on the island of São Jorge",Azores,Portugal
NIC252,1,NIC252,NA,20160408,NIC,,,,38.661313,-28.147949,Rural garden,Rotting fruit,Rotting fruit (?) from Camelia.,NA,NA,NA,NA,NA,S. Carvalho,S. Carvalho,8/1/12,Only year and month are known (08-2012),"Isolated in the Azores, on the island of São Jorge",Azores,Portugal
MY2121,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/15/12,NA,NA,North Rhine-Westphalia,Germany
MY2109,0,MY2741,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/15/12,NA,NA,Schleswig-Holstein,Germany
MY2099,0,MY795,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/15/12,NA,NA,Schleswig-Holstein,Germany
MY2143,0,MY2147,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/17/12,NA,NA,Schleswig-Holstein,Germany
MY2137,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/17/12,NA,NA,North Rhine-Westphalia,Germany
MY2142,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/17/12,NA,NA,North Rhine-Westphalia,Germany
MY2144,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,rotting apple compost,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/17/12,NA,NA,North Rhine-Westphalia,Germany
MY2138,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Slug,brown slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/17/12,NA,NA,Schleswig-Holstein,Germany
MY2147,1,MY2147,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/17/12,NA,NA,Schleswig-Holstein,Germany
MY2199,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/26/12,NA,NA,North Rhine-Westphalia,Germany
MY2198,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/26/12,NA,NA,North Rhine-Westphalia,Germany
MY2208,0,MY2573,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/26/12,NA,NA,Schleswig-Holstein,Germany
MY2224,0,MY2573,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/26/12,NA,NA,Schleswig-Holstein,Germany
MY2212,1,MY2212,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,9/26/12,NA,NA,Schleswig-Holstein,Germany
MY2288,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/10/12,NA,NA,North Rhine-Westphalia,Germany
MY2282,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/10/12,NA,NA,North Rhine-Westphalia,Germany
MY2294,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,rotting apple compost,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/10/12,NA,NA,North Rhine-Westphalia,Germany
MY2291,0,RC301,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/10/12,NA,NA,Schleswig-Holstein,Germany
MY2339,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/12,NA,NA,North Rhine-Westphalia,Germany
MY2344,0,MY2535,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/12,NA,NA,North Rhine-Westphalia,Germany
MY2338,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,rotting apple compost,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/12,NA,NA,North Rhine-Westphalia,Germany
MY2347,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/12,NA,NA,Schleswig-Holstein,Germany
MY2373,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Isopod,Isopod,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/12,NA,NA,Schleswig-Holstein,Germany
MY2406,0,MY920,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,rotting apple compost,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,10/24/12,NA,NA,Schleswig-Holstein,Germany
MY2434,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/7/12,NA,NA,North Rhine-Westphalia,Germany
MY2443,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,rotting apple compost,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/7/12,NA,NA,North Rhine-Westphalia,Germany
MY2453,1,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/7/12,NA,NA,North Rhine-Westphalia,Germany
JU2234,1,JU2234,prune7.2,20170531,JU,,,,47.227,-1.583,Urban garden,Rotting fruit,rotten plum,NA,NA,NA,NA,NA,L. Frézal,L. Frézal,11/11/12,NA,NA,Pays de la Loire,France
JU2250,1,JU2250,C1,20170531,JU,,,,48.285278,-1.891389,Rural garden,Rotting fruit,"rotting fruit, apple",NA,NA,NA,NA,NA,L. Frézal,L. Frézal,11/15/12,NA,"Isolated by Lise Frézal from an apple collected in Cardroc (Ile et Vilaine, France;48.285278, -1.891389) on the 15 Nov 2012. L4 individual isolated on 19 Nov 2012",Brittany,France
NIC255,1,NIC255,NA,20160408,NIC,,,,43.714834,7.266779,Urban garden,Rotting fruit,isolated from a rotting orange trap (trap set date: 10.27.2012),NA,NA,NA,NA,NA,C. Braendle,C. Braendle,11/18/12,NA,Isolated in Parc de Valrose,Provence-Alpes-Côte d'Azur,France
MY2481,0,JU311,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/21/12,NA,NA,Schleswig-Holstein,Germany
MY2502,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/21/12,NA,NA,North Rhine-Westphalia,Germany
MY2491,0,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,11/21/12,NA,NA,North Rhine-Westphalia,Germany
NIC263,0,NIC256,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Fruit,fruits palm tree (olive size),NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC256,1,NIC256,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Fruit,fruits palm tree (olive size),NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC258,1,NIC258,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Fruit,fruits palm tree (large),NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC259,1,NIC259,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Fruit,"fruits, Opuntia-like plant",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC260,1,NIC260,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Fruit,"fruits, osage orange (Maclura pomifera)",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC261,1,NIC261,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Fruit,"fruits, Silene sp.?",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC262,1,NIC262,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Flower,Strelitzia flower (inside),NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
NIC265,1,NIC265,NA,20160408,NIC,,,,38.71829,-9.14875,Botanical garden zoo,Flower,"flowers, fruits, humus sample",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/2/12,NA,NA,Lisbon Metropolitan Area,Portugal
MY2541,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/5/12,NA,NA,North Rhine-Westphalia,Germany
MY2532,0,MY2535,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/5/12,NA,NA,Schleswig-Holstein,Germany
MY2530,1,MY2530,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/5/12,NA,NA,Schleswig-Holstein,Germany
MY2535,1,MY2535,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/5/12,NA,NA,North Rhine-Westphalia,Germany
NIC270,0,NIC267,NA,20160408,NIC,,,,38.69237,-9.31592,Urban garden,Fruit,"Orange fruits, litter, humus",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/7/12,NA,Isolated in Jardim do Palacio do Marques de Pombal,Lisbon Metropolitan Area,Portugal
NIC266,1,NIC266,NA,20160408,NIC,,,,38.69237,-9.31592,Urban garden,Flower,flowers (grapes) from tree,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/7/12,NA,Isolated in Jardim do Palacio do Marques de Pombal,Lisbon Metropolitan Area,Portugal
NIC267,1,NIC267,NA,20160408,NIC,,,,38.69237,-9.31592,Urban garden,Fruit,Orange fruits,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/7/12,NA,Isolated in Jardim do Palacio do Marques de Pombal,Lisbon Metropolitan Area,Portugal
NIC268,1,NIC268,NA,20160408,NIC,,,,38.69237,-9.31592,Urban garden,Fruit,Orange fruits,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/7/12,NA,Isolated in Jardim do Palacio do Marques de Pombal,Lisbon Metropolitan Area,Portugal
NIC269,1,NIC269,NA,20160408,NIC,,,,38.69237,-9.31592,Urban garden,Fruit,Orange fruits,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/7/12,NA,Isolated in Jardim do Palacio do Marques de Pombal,Lisbon Metropolitan Area,Portugal
NIC271,1,NIC271,NA,20160408,NIC,,,,38.69237,-9.31592,Urban garden,Fruit,Magnolia fruits (woody),NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/7/12,NA,Isolated in Jardim do Palacio do Marques de Pombal,Lisbon Metropolitan Area,Portugal
NIC273,0,NIC272,NA,20160408,NIC,,,,39.769459,-8.756356,Rural garden,Nut,"litter, walnuts, isopods",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/9/12,NA,Isolated in a garden near an old farmhouse,Leiria District,Portugal
NIC272,1,NIC272,NA,20160408,NIC,,,,39.769459,-8.756356,Rural garden,Nut,"litter, walnuts, isopods",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/9/12,NA,Isolated in a garden near an old farmhouse,Leiria District,Portugal
NIC274,1,NIC274,NA,20160408,NIC,,,,39.769459,-8.756356,Rural garden,Fruit,"figs, litter",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/9/12,NA,Isolated in a garden near an old farmhouse,Leiria District,Portugal
NIC275,1,NIC275,NA,20160408,NIC,,,,39.769459,-8.756356,Rural garden,Nut,"chestnuts, husks",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/9/12,NA,Isolated in a garden near an old farmhouse,Leiria District,Portugal
NIC276,1,NIC276,NA,20160408,NIC,,,,39.769459,-8.756356,Rural garden,Fruit,"Kaki fruit remains, litter, (under Kaki tree)",NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/9/12,NA,Isolated in a garden near an old farmhouse,Leiria District,Portugal
MY2579,0,MY2453,NA,20170531,MY,,,,51.950777,7.536628,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/10/12,NA,NA,North Rhine-Westphalia,Germany
MY2573,1,MY2573,NA,20170531,MY,,,,51.950723000000004,7.599099,Rural garden,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/10/12,NA,NA,North Rhine-Westphalia,Germany
MY2585,1,MY2585,NA,20170531,MY,,,,54.346355,10.117737,Botanical garden zoo,Compost,compost heap,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,12/10/12,NA,NA,Schleswig-Holstein,Germany
NIC277,1,NIC277,NA,20160408,NIC,,,,43.716441,7.266138,Urban garden,Rotting fruit,rotting orange,NA,NA,NA,NA,NA,C. Braendle,C. Braendle,12/15/12,NA,Isolated in Parc de Valrose,Provence-Alpes-Côte d'Azur,France
JU2460,0,JU792,Callot 1.1,20170531,JU,,,,48.6934,-3.9251,Agricultural land,Rotting plant,"rotting plant, cabbage leaves",NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,12/28/12,NA,"Isolated from rotting cabbage leaves sampled in a field on Ile Callot (Finistère, France; 48.6934, -3.9251) on 28 Dec 2012 by MAF.",Bretagne,France
JU2467,0,JU2464,Ag. cal 5,20160408,JU,,,,-13.155,-72.525,NA,Rotting fruit,fleshy fruit; rotten berry?,NA,NA,NA,NA,NA,L. Frezal,L. Lokmane,1/1/13,Only month/year (January 2013) is known,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal. Line started from an adult on 9 Jan 2013.",Cusco,Peru
JU2468,0,JU2464,Ag. cal 1,20160408,JU,,,,-13.155,-72.525,NA,Rotting fruit,fleshy fruit; rotten berry?,NA,NA,NA,NA,NA,L. Frezal,L. Lokmane,1/1/13,Only month/year (January 2013) is known,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult on 9 Jan 2013.",Cusco,Peru
JU2464,1,JU2464,Ag. Cal 2,20160408,JU,,,,-13.155,-72.525,NA,Rotting fruit,fleshy fruit; rotten berry?,NA,NA,NA,NA,NA,L. Frezal,L. Lokmane,1/1/13,Only month/year (January 2013) is known,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult isolated on 9 Jan 2013",Cusco,Peru
JU2466,1,JU2466,ollanta 3A1,20160408,JU,,,,-13.257,-72.266,NA,Rotting fruit,"rotting fruit, lemon",NA,NA,NA,NA,NA,L. Frezal,L. Lokmane,1/1/13,Only month/year (January 2013) is known,"From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Frézal. Line started from an adult isolated on 9 Jan 2013",Cusco,Peru
JU2593,1,JU2593,OB1.4,20170531,JU,,,,48.822556,2.222334,Urban garden,Compost,compost,NA,NA,NA,NA,NA,L. Frézal,O. Bensaude,1/1/13,Only year (2013) information is known.,NA,Île-de-France,France
JU2478,1,JU2478,Brux1,20170531,JU,,,,50.85,4.351,Urban garden,Compost,compost heap,NA,NA,NA,NA,NA,M.-A. Félix,D.Thieffry,2/1/13,Only month/year (February 2013) is known,"Isolated from Denis Thieffry’s compost heap in Brussels, Belgium in Feb 2013",Brussels,Belgium
QG2075,1,QG2075,NA,20160408,QG,,,,33.951,-83.376,NA,Fungus,store-bought mushrooms in a mushroom-feeding Drosophila vial,NA,NA,NA,NA,NA,NA,M. Rockman,2/20/13,NA,NA,Georgia,United States
QW947,1,QW947,NA,20160408,QW,,,,-33.4213,-70.6106,Urban garden,Compost,"compost heap with moist rotting grass (urban park) at Univerisdad Mayor, Camino la Piramide",NA,NA,NA,NA,NA,M. Alkema,M. Alkema,4/12/13,NA,NA,Santiago Metropolitan Region,Chile
JU2513,1,JU2513,G6.1,20160408,JU,,,,38.26016,22.0736,NA,Rotting fruit,rotting orange,NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,5/7/13,NA,"Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736",Peloponnisos Dytiki Ellada ke Ionio,Greece
JU2534,1,JU2534,NA,20170531,JU,,,,49.357921,0.097087,Rural garden,Rotting fruit,cherry,NA,NA,NA,NA,NA,S. Marsh,S. Marsh,6/9/13,NA,NA,Normandy,France
ECA36,1,ECA36,GD6,20160408,ECA,,,,-36.893333,174.745529,Urban garden,Leaf litter,garden grass,NA,NA,NA,NA,NA,K. Ly,I. Ly,7/27/13,NA,NA,Auckland,New Zealand
MY2691,0,RC301,NA,20170531,MY,,,,54.3491,10.11505,Botanical garden zoo,Isopod,isopod,NA,NA,NA,NA,NA,R. Hermann,R. Hermann,7/31/13,NA,NA,Schleswig-Holstein,Germany
MY2623,0,MY2585,NA,20170531,MY,,,,54.3491,10.11505,Botanical garden zoo,Slug,slug,NA,NA,NA,NA,NA,C. Petersen,C. Petersen,8/9/13,NA,NA,Schleswig-Holstein,Germany
MY2630,0,RC301,NA,20170531,MY,,,,54.3491,10.11505,Botanical garden zoo,Isopod,isopod,NA,NA,NA,NA,NA,R. Hermann,R. Hermann,8/9/13,NA,NA,Schleswig-Holstein,Germany
JU2287,0,JU2257,B13-5.8,20170531,JU,,,,46.6,1.1,Rural garden,Compost,compost (in container),NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/15/13,NA,NA,Centre-Val de Loire,France
JU2257,1,JU2257,B13-5.5,20170531,JU,,,,46.6,1.1,Rural garden,Compost,compost (in container),NA,NA,NA,NA,NA,M.-A. Félix,M.-A. Félix,8/15/13,NA,NA,Centre-Val de Loire,France
MY2693,1,MY2693,NA,20170531,MY,,,,54.3491,10.11505,Botanical garden zoo,Slug,slug,NA,NA,NA,NA,NA,R. Hermann,R. Hermann,8/15/13,NA,NA,Schleswig-Holstein,Germany
MY2692,0,MY2741,NA,20170531,MY,,,,54.3491,10.11505,Botanical garden zoo,Isopod,isopod,NA,NA,NA,NA,NA,R. Hermann,R. Hermann,8/16/13,NA,NA,Schleswig-Holstein,Germany
JU2527,0,JU792,Ap4,20170531,JU,,,,47.8797,-3.5999,Rural garden,Rotting fruit,"rotten fruit, apples",NA,NA,NA,NA,NA,L. Frézal,F. Besnard,8/19/13,NA,NA,Brittany,France
MY2685,0,MY2693,NA,20170531,MY,,,,54.3491,10.11505,Botanical garden zoo,Isopod,isopod Oniscus asellus,NA,NA,NA,NA,NA,M . Barg,M. Barg,8/19/13,NA,NA,Schleswig-Holstein,Germany
