c_label,s_label,species_family,env_par,value,KM_pvalue
C-1371,S-06647,C. briggsae,altitude,151,7.789348573390319e-16
C-1402,S-06897,C. briggsae,altitude,131.7296417,7.789348573390319e-16
C-1480,S-06857,C. elegans,altitude,1043,7.789348573390319e-16
C-1489,S-06823,C. elegans,altitude,1170,7.789348573390319e-16
C-1513,S-06906,C. briggsae,altitude,106,7.789348573390319e-16
C-2527,S-06740,C. briggsae,altitude,200.1682692,7.789348573390319e-16
C-2530,S-06892,C. briggsae,altitude,51,7.789348573390319e-16
C-2546,S-06869,C. briggsae,altitude,9,7.789348573390319e-16
C-2554,S-06950,C. briggsae,altitude,45,7.789348573390319e-16
C-2604,S-06898,C. briggsae,altitude,103.5895652,7.789348573390319e-16
C-2609,S-06673,C. briggsae,altitude,393,7.789348573390319e-16
C-2616,S-06772,C. briggsae,altitude,415,7.789348573390319e-16
C-2669,S-06337,C. briggsae,altitude,334.0555556,7.789348573390319e-16
C-2677,S-07052,C. elegans,altitude,992.3670886,7.789348573390319e-16
C-2720,S-07049,C. briggsae,altitude,439.01,7.789348573390319e-16
C-2735,S-06437,C. briggsae,altitude,449.4651163,7.789348573390319e-16
C-2756,S-07100,C. briggsae,altitude,463.9475138,7.789348573390319e-16
C-2767,S-06173,C. briggsae,altitude,44.01602564,7.789348573390319e-16
C-2772,S-06280,C. briggsae,altitude,38.60953177,7.789348573390319e-16
C-2794,S-06294,C. briggsae,altitude,1217.810651,7.789348573390319e-16
C-2805,S-06224,C. elegans,altitude,1114.484375,7.789348573390319e-16
C-2824,S-07420,C. elegans,altitude,670.8930041,7.789348573390319e-16
C-2827,S-06105,C. tropicalis,altitude,244.69,7.789348573390319e-16
C-2828,S-07315,C. elegans,altitude,670.8197674,7.789348573390319e-16
C-2830,S-07273,C. elegans,altitude,670.543379,7.789348573390319e-16
C-2836,S-07228,C. elegans,altitude,670.7331461,7.789348573390319e-16
C-2840,S-07355,C. elegans,altitude,670.6117647,7.789348573390319e-16
C-2845,S-06039,C. briggsae,altitude,238.1446281,7.789348573390319e-16
C-2849,S-06145,C. briggsae,altitude,244.5239295,7.789348573390319e-16
C-2850,S-06013,C. briggsae,altitude,140.315534,7.789348573390319e-16
C-2856,S-07368,C. elegans,altitude,669.971831,7.789348573390319e-16
C-2857,S-06153,C. briggsae,altitude,246.0480769,7.789348573390319e-16
C-2857,S-06168,C. tropicalis,altitude,246.0480769,7.789348573390319e-16
C-2861,S-06001,C. briggsae,altitude,245.753012,7.789348573390319e-16
C-2865,S-07097,C. elegans,altitude,789.2913386,7.789348573390319e-16
C-2879,S-07384,C. elegans,altitude,671.08125,7.789348573390319e-16
C-2880,S-07225,C. elegans,altitude,669.9975,7.789348573390319e-16
C-2906,S-05993,C. tropicalis,altitude,101.6706349,7.789348573390319e-16
C-2909,S-06150,C. tropicalis,altitude,88.96017699,7.789348573390319e-16
C-2915,S-06192,C. tropicalis,altitude,101.7170732,7.789348573390319e-16
C-2916,S-06055,C. briggsae,altitude,90.12869565,7.789348573390319e-16
C-3007,S-06241,C. elegans,altitude,1206.792793,7.789348573390319e-16
C-3028,S-06285,C. briggsae,altitude,247.4792627,7.789348573390319e-16
C-3031,S-06022,C. briggsae,altitude,246.6155462,7.789348573390319e-16
C-3043,S-06307,C. briggsae,altitude,1210.321244,7.789348573390319e-16
C-3058,S-06322,C. elegans,altitude,1121.234234,7.789348573390319e-16
C-3085,S-06213,C. elegans,altitude,1119.574468,7.789348573390319e-16
C-3093,S-05969,C. briggsae,altitude,244.5700483,7.789348573390319e-16
C-3096,S-06245,C. briggsae,altitude,1146.177083,7.789348573390319e-16
C-3097,S-06054,C. elegans,altitude,1119.876923,7.789348573390319e-16
C-3114,S-06174,C. elegans,altitude,655.1933333,7.789348573390319e-16
C-3133,S-05962,C. elegans,altitude,649.9944751,7.789348573390319e-16
C-3143,S-07541,C. elegans,altitude,655.4961832,7.789348573390319e-16
C-3151,S-07530,C. elegans,altitude,656.5362319,7.789348573390319e-16
C-3155,S-07385,C. elegans,altitude,655.4036697,7.789348573390319e-16
C-3160,S-06096,C. elegans,altitude,685.5014663,7.789348573390319e-16
C-3164,S-05967,C. elegans,altitude,667.7007299,7.789348573390319e-16
C-3178,S-06046,C. elegans,altitude,656.3305085,7.789348573390319e-16
C-3189,S-07266,C. elegans,altitude,653.640118,7.789348573390319e-16
C-3197,S-07305,C. elegans,altitude,651.980315,7.789348573390319e-16
C-3201,S-07378,C. elegans,altitude,649.3469388,7.789348573390319e-16
C-3205,S-07424,C. elegans,altitude,648.3991416,7.789348573390319e-16
C-3264,S-06386,C. elegans,altitude,655.7813765,7.789348573390319e-16
C-3266,S-06383,C. elegans,altitude,651.7065217,7.789348573390319e-16
C-3267,S-07204,C. briggsae,altitude,673.8686869,7.789348573390319e-16
C-3270,S-07107,C. elegans,altitude,640.3041958,7.789348573390319e-16
C-3294,S-06373,C. elegans,altitude,1010.408602,7.789348573390319e-16
C-3525,S-07255,C. briggsae,altitude,102.5587847,7.789348573390319e-16
C-3533,S-07350,C. oiwi,altitude,109.8398693,7.789348573390319e-16
