strain,isotype,long,lat,state,country,max_pop_frac,pop_assignment,A,B,C,D,E,F,G,H,I,J,K,Hawaiian
ECA363,ECA363,-156.304444,20.723611,Hawaii,United States,0.9999,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA369,ECA369,-157.006389,21.175556,Hawaii,United States,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA372,ECA372,-159.664444,22.121667,Hawaii,United States,0.766152,E,1.8e-5,1e-5,0.232283,1e-5,0.766152,1e-5,1e-5,1e-5,1e-5,0.001477,1e-5,TRUE
JU3125,JU3125,13.3722,38.1127,Sicily,Italy,0.456677,J,1e-5,0.159879,1e-5,0.383364,1e-5,1e-5,1e-5,1e-5,1e-5,0.456677,1e-5,FALSE
JU3127,JU3127,13.37274,38.11196,Sicily,Italy,0.60954,J,1e-5,0.18184,1e-5,0.208539,1e-5,1e-5,1e-5,1e-5,1e-5,0.60954,1e-5,FALSE
JU3128,JU3128,15.2763,37.076,Sicily,Italy,0.758862,D,1e-5,0.002708,1e-5,0.758862,1e-5,1e-5,0.012627,1e-5,0.225733,1e-5,1e-5,FALSE
JU3144,JU3144,10.52,6.18,Northwest,Cameroon,0.366712,K,1e-5,1e-5,1e-5,0.322822,1e-5,1e-5,1e-5,1e-5,0.109345,0.20105,0.366712,FALSE
ECA393,ECA189,-155.235493,19.449831,Hawaii,Unites States,0.842304,E,1e-5,1e-5,0.157606,1e-5,0.842304,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA397,ECA396,-155.235493,19.449831,Hawaii,Unites States,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE
ECA243,CB4851,0.48,44.85,Aquitaine,France,0.9999,B,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
PS2025,PS2025,-118.13,34.19,California,United States,0.9999,C,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,FALSE
ECA347,ECA347,-155.303611,19.438889,Hawaii,United States,0.9999,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA702,ECA701,-159.656428,22.123283,Hawaii,United States,0.58748,F,0.250814,1e-5,1e-5,1e-5,1e-5,0.58748,1e-5,0.161626,1e-5,1e-5,1e-5,TRUE
ECA734,ECA738,-156.9740559,21.13927631,Hawaii,United States,0.720652,E,1e-5,1e-5,0.279258,1e-5,0.720652,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA822,ECA705,-155.438922,20.038831,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA707,ECA778,-155.441517,20.039783,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA721,ECA778,-155.441419,20.039858,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA716,ECA807,-155.441408,20.039844,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA720,ECA807,-155.441419,20.039858,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA704,ECA812,-155.441517,20.039783,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA719,ECA812,-155.441419,20.039858,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA703,ECA703,-155.438922,20.038831,Hawaii,United States,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA706,ECA706,-155.438922,20.038831,Hawaii,United States,0.856741,A,0.856741,1e-5,1e-5,1e-5,0.143163,1e-5,1e-5,1.6e-5,1e-5,1e-5,1e-5,TRUE
ECA710,ECA710,-155.438103,20.039656,Hawaii,United States,0.928485,E,1e-5,1e-5,0.071425,1e-5,0.928485,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA711,ECA712,-155.222478,19.423864,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA728,ECA723,-155.221661,19.424272,Hawaii,United States,0.999884,H,1.3e-5,1.6e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.999884,1.7e-5,1e-5,1e-5,TRUE
ECA725,ECA724,-155.303825,19.439144,Hawaii,United States,0.991476,F,1e-5,1e-5,0.008431,1e-5,1e-5,0.991476,1.3e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA722,ECA722,-155.222625,19.423975,Hawaii,United States,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE
ECA730,ECA730,-155.222483,19.423869,Hawaii,United States,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE
ECA740,ECA740,-156.339189,20.670022,Hawaii,United States,0.999895,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999895,1e-5,1e-5,1.5e-5,1e-5,1e-5,TRUE
ECA741,ECA741,-156.338322,20.6762,Hawaii,United States,0.999898,F,1e-5,1e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1.2e-5,1e-5,1e-5,1e-5,TRUE
ECA731,ECA733,-155.818386,19.115886,Hawaii,United States,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA747,ECA745,-155.955839,19.700464,Hawaii,United States,0.999898,H,1e-5,1e-5,1e-5,1.2e-5,1e-5,1e-5,1e-5,0.999898,1e-5,1e-5,1e-5,TRUE
ECA732,ECA732,-155.81845,19.115403,Hawaii,United States,0.9999,A,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA744,ECA744,-155.949572,19.719231,Hawaii,United States,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE
ECA746,ECA746,-155.819336,19.115292,Hawaii,United States,0.9999,H,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,TRUE
ECA742,ECA742,-156.2781,20.80569,Hawaii,United States,0.999881,F,1e-5,1.2e-5,1e-5,1e-5,1.3e-5,0.999881,1e-5,1.6e-5,1e-5,1.8e-5,1e-5,TRUE
ECA743,ECA743,-156.32317,20.741871,Hawaii,United States,0.84473,E,1e-5,0.044726,0.025694,0.052205,0.84473,1e-5,1e-5,1e-5,0.032585,1e-5,1e-5,TRUE
ECA739,ECA760,-155.441619,20.039869,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA749,ECA760,-155.441608,20.039875,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA752,ECA760,-155.441492,20.039847,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA754,ECA760,-155.441464,20.039869,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA758,ECA760,-155.441531,20.039886,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA779,ECA760,-155.441608,20.039858,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA784,ECA760,-155.441481,20.039783,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA772,ECA768,-155.441503,20.039908,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1.1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA756,ECA778,-155.441533,20.039822,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA763,ECA778,-155.441608,20.039878,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA781,ECA778,-155.441608,20.039858,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA810,ECA778,-155.441531,20.039897,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA770,ECA807,-155.441531,20.039869,Hawaii,United States,0.9999,E,1e-5,1e-5,1e-5,1e-5,0.9999,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA748,ECA812,-155.441492,20.039847,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA755,ECA812,-155.441464,20.039869,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA759,ECA812,-155.441531,20.039886,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA762,ECA812,-155.441533,20.039822,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA771,ECA812,-155.441644,20.039864,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA774,ECA812,-155.441531,20.039869,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA782,ECA812,-155.441608,20.039875,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA783,ECA812,-155.441481,20.039783,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA813,ECA812,-155.441542,20.039917,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1e-5,0.999899,1e-5,1e-5,1.1e-5,1e-5,1e-5,1e-5,TRUE
ECA768,ECA768,-155.441556,20.039914,Hawaii,United States,0.999899,E,1e-5,1e-5,1e-5,1.1e-5,0.999899,1e-5,1e-5,1e-5,1e-5,1e-5,1e-5,TRUE
ECA777,ECA777,-155.441503,20.039908,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
ECA778,ECA778,-155.441503,20.039908,Hawaii,United States,0.999896,E,1e-5,1e-5,1e-5,1e-5,0.999896,1e-5,1e-5,1e-5,1.4e-5,1e-5,1e-5,TRUE
