A	B	C	D	E	F	G	H	I	J	K	samples
1e-05	1e-05	1e-05	0.214366	1e-05	1e-05	1e-05	1e-05	1e-05	0.785544	1e-05	NIC267
0.368281	1e-05	0.049807	1e-05	0.048434	1e-05	1e-05	1e-05	1e-05	0.452486	0.080932	NIC268
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.1e-05	0.163144	0.836765	1e-05	NIC269
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.691917	1e-05	1e-05	0.307993	1e-05	NIC271
1e-05	1e-05	1e-05	1e-05	1.1e-05	1e-05	1e-05	1e-05	0.031337	0.968573	1e-05	NIC272
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	NIC274
1e-05	1e-05	1e-05	0.169383	1e-05	1e-05	1.1e-05	1e-05	1e-05	0.830526	1e-05	NIC275
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	NIC276
1e-05	1e-05	1e-05	0.394955	1e-05	1e-05	1e-05	1e-05	0.604955	1e-05	1e-05	NIC277
1e-05	1e-05	0.021269	0.463088	1e-05	1e-05	1e-05	1e-05	0.484239	0.028997	0.002347	NIC3
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	NIC501
1e-05	1e-05	1e-05	0.664857	1e-05	1e-05	1e-05	1e-05	0.335053	1e-05	1e-05	NIC511
1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	NIC513
1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.999892	1e-05	NIC514
1e-05	1e-05	1e-05	0.334146	1e-05	1e-05	0.051678	1e-05	0.196771	0.417336	1e-05	NIC515
1e-05	0.094386	1e-05	0.420282	1e-05	1e-05	0.050353	1e-05	0.198222	0.236696	1e-05	NIC522
1e-05	1e-05	1e-05	0.463138	0.143358	1.4e-05	0.020281	1e-05	1e-05	0.373149	1e-05	NIC523
1e-05	1e-05	1e-05	0.268203	1e-05	1e-05	0.079686	1e-05	0.14343	0.327151	0.18147	NIC526
1e-05	0.027725	1e-05	0.154581	1e-05	1e-05	0.036296	1e-05	0.624523	0.156816	1e-05	NIC527
1e-05	1e-05	1e-05	0.762944	1e-05	1e-05	1e-05	1e-05	0.062372	0.174604	1e-05	NIC528
1e-05	0.069957	1e-05	0.685008	1e-05	1e-05	1e-05	1e-05	0.070933	0.174032	1e-05	NIC529
1e-05	1e-05	0.1275	0.87241	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PB303
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PB306
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	PS2025
1e-05	0.269674	1e-05	0.730226	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	PX179
0.043366	0.007539	0.097807	0.24636	1e-05	1e-05	0.07614	1e-05	1e-05	0.142644	0.386104	QG2075
1e-05	1e-05	0.089958	0.522272	1e-05	1e-05	1e-05	1e-05	1e-05	0.38769	1e-05	QG536
1e-05	1e-05	0.860267	1e-05	0.139643	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG556
1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QG557
1e-05	1e-05	1e-05	0.519928	1e-05	0.048502	0.172277	1e-05	0.259223	1e-05	1e-05	QW947
1e-05	1e-05	1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	QX1211
0.043174	1e-05	0.806142	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.150604	QX1212
1e-05	1e-05	0.855445	0.144465	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1233
0.559108	0.107565	0.137053	1e-05	0.061847	1e-05	1e-05	1e-05	1e-05	1e-05	0.134366	QX1791
1e-05	1e-05	1e-05	0.220457	0.617955	1e-05	1e-05	1e-05	1e-05	0.161508	1e-05	QX1792
1e-05	1e-05	1e-05	1e-05	0.875683	1e-05	1e-05	1.2e-05	1e-05	0.124224	1e-05	QX1793
1e-05	1e-05	0.10701	0.037616	0.855294	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	QX1794
1e-05	1e-05	1e-05	0.9999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	RC301
0.035989	1e-05	1e-05	1e-05	1e-05	1e-05	0.261792	1e-05	0.032126	1e-05	0.670023	WN2001
1e-05	0.235821	1e-05	0.611919	1e-05	1e-05	0.148065	1e-05	0.004125	1e-05	1e-05	WN2002
1e-05	1e-05	1e-05	0.495533	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.504377	WN2033
0.004214	0.388676	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.60703	1e-05	1e-05	WN2050
1e-05	1e-05	0.156637	1e-05	0.843273	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1513
1e-05	1.2e-05	1e-05	1e-05	1e-05	0.999894	1e-05	1e-05	1.3e-05	1e-05	1e-05	XZ1514
1e-05	1e-05	0.334387	1e-05	0.569182	0.096351	1e-05	1e-05	1e-05	1e-05	1e-05	XZ1515
0.174719	1e-05	1e-05	1e-05	1e-05	0.624136	1e-05	0.201065	1e-05	1e-05	1e-05	XZ1516
